==35275== NVPROF is profiling process 35275, command: ./conv1
==35275== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==35275== Profiling application: ./conv1
==35275== Profiling result:
==35275== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"TITAN V (0)","convolution(int)",1,"inst_per_warp","Instructions per warp",750.000000,750.000000,750.000000
"TITAN V (0)","convolution(int)",1,"branch_efficiency","Branch Efficiency",56.992084%,56.992084%,56.992084%
"TITAN V (0)","convolution(int)",1,"warp_execution_efficiency","Warp Execution Efficiency",56.475557%,56.475557%,56.475557%
"TITAN V (0)","convolution(int)",1,"warp_nonpred_execution_efficiency","Warp Non-Predicated Execution Efficiency",54.492141%,54.492141%,54.492141%
"TITAN V (0)","convolution(int)",1,"inst_replay_overhead","Instruction Replay Overhead",0.000057,0.000057,0.000057
"TITAN V (0)","convolution(int)",1,"shared_load_transactions_per_request","Shared Memory Load Transactions Per Request",2.038299,2.038299,2.038299
"TITAN V (0)","convolution(int)",1,"shared_store_transactions_per_request","Shared Memory Store Transactions Per Request",2.942387,2.942387,2.942387
"TITAN V (0)","convolution(int)",1,"local_load_transactions_per_request","Local Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"TITAN V (0)","convolution(int)",1,"local_store_transactions_per_request","Local Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"TITAN V (0)","convolution(int)",1,"gld_transactions_per_request","Global Load Transactions Per Request",8.617372,8.617372,8.617372
"TITAN V (0)","convolution(int)",1,"gst_transactions_per_request","Global Store Transactions Per Request",0.000000,0.000000,0.000000
"TITAN V (0)","convolution(int)",1,"shared_store_transactions","Shared Store Transactions",1681883198,1681883198,1681883198
"TITAN V (0)","convolution(int)",1,"shared_load_transactions","Shared Load Transactions",2238566537,2238566537,2238566537
"TITAN V (0)","convolution(int)",1,"local_load_transactions","Local Load Transactions",0,0,0
"TITAN V (0)","convolution(int)",1,"local_store_transactions","Local Store Transactions",0,0,0
"TITAN V (0)","convolution(int)",1,"gld_transactions","Global Load Transactions",996215642,996215642,996215642
"TITAN V (0)","convolution(int)",1,"gst_transactions","Global Store Transactions",0,0,0
"TITAN V (0)","convolution(int)",1,"sysmem_read_transactions","System Memory Read Transactions",0,0,0
"TITAN V (0)","convolution(int)",1,"sysmem_write_transactions","System Memory Write Transactions",5,5,5
"TITAN V (0)","convolution(int)",1,"l2_read_transactions","L2 Read Transactions",924650672,924650672,924650672
"TITAN V (0)","convolution(int)",1,"l2_write_transactions","L2 Write Transactions",205523326,205523326,205523326
"TITAN V (0)","convolution(int)",1,"dram_read_transactions","Device Memory Read Transactions",26542465,26542465,26542465
"TITAN V (0)","convolution(int)",1,"dram_write_transactions","Device Memory Write Transactions",473600,473600,473600
"TITAN V (0)","convolution(int)",1,"global_hit_rate","Global Hit Rate in unified l1/tex",31.769319%,31.769319%,31.769319%
"TITAN V (0)","convolution(int)",1,"local_hit_rate","Local Hit Rate",0.000000%,0.000000%,0.000000%
"TITAN V (0)","convolution(int)",1,"gld_requested_throughput","Requested Global Load Throughput",155.237979GB/s,155.237979GB/s,155.237979GB/s
"TITAN V (0)","convolution(int)",1,"gst_requested_throughput","Requested Global Store Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"TITAN V (0)","convolution(int)",1,"gld_throughput","Global Load Throughput",334.435856GB/s,334.435856GB/s,334.435856GB/s
"TITAN V (0)","convolution(int)",1,"gst_throughput","Global Store Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"TITAN V (0)","convolution(int)",1,"local_memory_overhead","Local Memory Overhead",5.482489%,5.482489%,5.482489%
"TITAN V (0)","convolution(int)",1,"tex_cache_hit_rate","Unified Cache Hit Rate",25.502073%,25.502073%,25.502073%
"TITAN V (0)","convolution(int)",1,"l2_tex_read_hit_rate","L2 Hit Rate (Texture Reads)",98.023009%,98.023009%,98.023009%
"TITAN V (0)","convolution(int)",1,"l2_tex_write_hit_rate","L2 Hit Rate (Texture Writes)",0.000000%,0.000000%,0.000000%
"TITAN V (0)","convolution(int)",1,"dram_read_throughput","Device Memory Read Throughput",8.910472GB/s,8.910472GB/s,8.910472GB/s
"TITAN V (0)","convolution(int)",1,"dram_write_throughput","Device Memory Write Throughput",162.806270MB/s,162.806270MB/s,162.806269MB/s
"TITAN V (0)","convolution(int)",1,"tex_cache_throughput","Unified cache to Multiprocessor throughput",2216.001211GB/s,2216.001211GB/s,2216.001211GB/s
"TITAN V (0)","convolution(int)",1,"l2_tex_read_throughput","L2 Throughput (Texture Reads)",241.410677GB/s,241.410677GB/s,241.410677GB/s
"TITAN V (0)","convolution(int)",1,"l2_tex_write_throughput","L2 Throughput (Texture Writes)",0.000000B/s,0.000000B/s,0.000000B/s
"TITAN V (0)","convolution(int)",1,"l2_read_throughput","L2 Throughput (Reads)",310.411045GB/s,310.411045GB/s,310.411045GB/s
"TITAN V (0)","convolution(int)",1,"l2_write_throughput","L2 Throughput (Writes)",68.995473GB/s,68.995473GB/s,68.995473GB/s
"TITAN V (0)","convolution(int)",1,"sysmem_read_throughput","System Memory Read Throughput",0.000000B/s,0.000000B/s,0.000000B/s
