==35496== NVPROF is profiling process 35496, command: ./conv1b
==35496== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==35496== Profiling application: ./conv1b
==35496== Profiling result:
==35496== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"TITAN V (0)","convolution(int)",16,"inst_per_warp","Instructions per warp",750.000000,750.000104,750.000006
"TITAN V (0)","convolution(int)",16,"branch_efficiency","Branch Efficiency",56.992084%,56.992084%,56.992084%
"TITAN V (0)","convolution(int)",16,"warp_execution_efficiency","Warp Execution Efficiency",56.459731%,56.478941%,56.466296%
"TITAN V (0)","convolution(int)",16,"warp_nonpred_execution_efficiency","Warp Non-Predicated Execution Efficiency",54.476860%,54.495407%,54.483199%
"TITAN V (0)","convolution(int)",16,"inst_replay_overhead","Instruction Replay Overhead",0.000057,0.000058,0.000057
"TITAN V (0)","convolution(int)",16,"shared_load_transactions_per_request","Shared Memory Load Transactions Per Request",2.022501,2.122715,2.050786
"TITAN V (0)","convolution(int)",16,"shared_store_transactions_per_request","Shared Memory Store Transactions Per Request",2.913362,3.097504,2.965376
"TITAN V (0)","convolution(int)",16,"local_load_transactions_per_request","Local Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"TITAN V (0)","convolution(int)",16,"local_store_transactions_per_request","Local Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"TITAN V (0)","convolution(int)",16,"gld_transactions_per_request","Global Load Transactions Per Request",8.615837,8.618650,8.617286
"TITAN V (0)","convolution(int)",16,"gst_transactions_per_request","Global Store Transactions Per Request",0.000000,0.000000,0.000000
"TITAN V (0)","convolution(int)",16,"shared_store_transactions","Shared Store Transactions",1665292080,1770548729,1695023922
"TITAN V (0)","convolution(int)",16,"shared_load_transactions","Shared Load Transactions",2221216321,2331276599,2252281115
"TITAN V (0)","convolution(int)",16,"local_load_transactions","Local Load Transactions",0,0,0
"TITAN V (0)","convolution(int)",16,"local_store_transactions","Local Store Transactions",0,0,0
"TITAN V (0)","convolution(int)",16,"gld_transactions","Global Load Transactions",996038134,996363379,996205637
"TITAN V (0)","convolution(int)",16,"gst_transactions","Global Store Transactions",0,0,0
"TITAN V (0)","convolution(int)",16,"sysmem_read_transactions","System Memory Read Transactions",0,17200,1075
"TITAN V (0)","convolution(int)",16,"sysmem_write_transactions","System Memory Write Transactions",5,5,5
"TITAN V (0)","convolution(int)",16,"l2_read_transactions","L2 Read Transactions",924107445,924816176,924521263
"TITAN V (0)","convolution(int)",16,"l2_write_transactions","L2 Write Transactions",205520927,205523326,205522255
"TITAN V (0)","convolution(int)",16,"dram_read_transactions","Device Memory Read Transactions",26543164,26566414,26559926
"TITAN V (0)","convolution(int)",16,"dram_write_transactions","Device Memory Write Transactions",461567,473884,471629
"TITAN V (0)","convolution(int)",16,"global_hit_rate","Global Hit Rate in unified l1/tex",31.757083%,31.839939%,31.786153%
"TITAN V (0)","convolution(int)",16,"local_hit_rate","Local Hit Rate",0.000000%,0.000000%,0.000000%
"TITAN V (0)","convolution(int)",16,"gld_requested_throughput","Requested Global Load Throughput",154.495637GB/s,155.294191GB/s,154.991008GB/s
"TITAN V (0)","convolution(int)",16,"gst_requested_throughput","Requested Global Store Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"TITAN V (0)","convolution(int)",16,"gld_throughput","Global Load Throughput",332.841002GB/s,334.593560GB/s,333.900442GB/s
"TITAN V (0)","convolution(int)",16,"gst_throughput","Global Store Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"TITAN V (0)","convolution(int)",16,"local_memory_overhead","Local Memory Overhead",5.458282%,5.514189%,5.483670%
"TITAN V (0)","convolution(int)",16,"tex_cache_hit_rate","Unified Cache Hit Rate",25.486917%,25.551499%,25.512826%
"TITAN V (0)","convolution(int)",16,"l2_tex_read_hit_rate","L2 Hit Rate (Texture Reads)",98.010682%,98.066163%,98.032024%
"TITAN V (0)","convolution(int)",16,"l2_tex_write_hit_rate","L2 Hit Rate (Texture Writes)",0.000000%,0.000000%,0.000000%
"TITAN V (0)","convolution(int)",16,"dram_read_throughput","Device Memory Read Throughput",8.873588GB/s,8.919618GB/s,8.902149GB/s
"TITAN V (0)","convolution(int)",16,"dram_write_throughput","Device Memory Write Throughput",158.436020MB/s,162.830343MB/s,161.870778MB/s
"TITAN V (0)","convolution(int)",16,"tex_cache_throughput","Unified cache to Multiprocessor throughput",2205.697492GB/s,2217.465566GB/s,2212.745060GB/s
"TITAN V (0)","convolution(int)",16,"l2_tex_read_throughput","L2 Throughput (Texture Reads)",240.102844GB/s,241.449624GB/s,240.981880GB/s
"TITAN V (0)","convolution(int)",16,"l2_tex_write_throughput","L2 Throughput (Texture Writes)",0.000000B/s,0.000000B/s,0.000000B/s
"TITAN V (0)","convolution(int)",16,"l2_read_throughput","L2 Throughput (Reads)",308.830906GB/s,310.509352GB/s,309.873832GB/s
"TITAN V (0)","convolution(int)",16,"l2_write_throughput","L2 Throughput (Writes)",68.665540GB/s,69.020455GB/s,68.885348GB/s
"TITAN V (0)","convolution(int)",16,"sysmem_read_throughput","System Memory Read Throughput",0.000000B/s,5.906825MB/s,377.811523KB/s
"TITAN V (0)","convolution(int)",16,"sysmem_write_throughput","System Memory Write Throughput",1.750977KB/s,1.759766KB/s,1.755859KB/s
"TITAN V (0)","convolution(int)",16,"local_load_throughput","Local Memory Load Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"TITAN V (0)","convolution(int)",16,"local_store_throughput","Local Memory Store Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"TITAN V (0)","convolution(int)",16,"shared_load_throughput","Shared Memory Load Throughput",2978.311135GB/s,3127.156725GB/s,3019.608129GB/s
"TITAN V (0)","convolution(int)",16,"shared_store_throughput","Shared Memory Store Throughput",2232.901811GB/s,2375.000619GB/s,2272.499636GB/s
